[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	12/13/2018 6:49:07 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_4	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:41:04 PM	1	3	NPOC	10.50	10.37	3.863	NPOC:3.815mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:43:11 PM	1	4	NPOC	10.18	10.37	3.745	NPOC:3.815mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:48:12 PM	1	1	NPOC	13.57	13.48	4.992	NPOC:4.958mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:50:22 PM	1	2	NPOC	13.51	13.48	4.970	NPOC:4.958mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:52:33 PM	1	3	NPOC	13.35	13.48	4.911	NPOC:4.958mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:57:40 PM	1	1	NPOC	19.79	21.08	7.280	NPOC:7.753mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:59:56 PM	1	2	NPOC	21.01	21.08	7.729	NPOC:7.753mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 8:02:13 PM	1	3	NPOC	22.31	21.08	8.207	NPOC:7.753mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 8:04:31 PM	1	4	NPOC	20.84	21.08	7.666	NPOC:7.753mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 8:06:54 PM	1	5	NPOC	21.38	21.08	7.865	NPOC:7.753mg/L	0	80	
