[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/27/2018 4:10:38 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:09:40 PM	1	1	NPOC	19.73	20.86	7.258	NPOC:7.675mg/L	1	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:11:56 PM	1	2	NPOC	20.74	20.86	7.629	NPOC:7.675mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:14:19 PM	1	3	NPOC	20.69	20.86	7.611	NPOC:7.675mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:16:39 PM	1	4	NPOC	21.45	20.86	7.891	NPOC:7.675mg/L	1	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:19:03 PM	1	5	NPOC	21.16	20.86	7.784	NPOC:7.675mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Nov23_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:23:59 PM	1	1	NPOC	13.40	14.32	4.929	NPOC:5.267mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech_Nov23_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:26:12 PM	1	2	NPOC	14.47	14.32	5.323	NPOC:5.267mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Nov23_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:28:26 PM	1	3	NPOC	14.85	14.32	5.463	NPOC:5.267mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech_Nov23_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:30:39 PM	1	4	NPOC	14.15	14.32	5.205	NPOC:5.267mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Nov23_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:32:58 PM	1	5	NPOC	14.33	14.32	5.271	NPOC:5.267mg/L	0	80	
