[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/13/2018 11:46:07 AM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_5	Nov5-7_Leech_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:49:57 PM	1	3	NPOC	33.74	33.50	12.41	NPOC:12.32mg/L	0	80	
Unknown	NPOC	NPOC_5	Nov5-7_Leech_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:52:29 PM	1	4	NPOC	33.01	33.50	12.14	NPOC:12.32mg/L	0	80	
Unknown	NPOC	NPOC_6	Nov5-7_Leech_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:57:41 PM	1	1	NPOC	27.54	28.97	10.13	NPOC:10.66mg/L	1	80	
Unknown	NPOC	NPOC_6	Nov5-7_Leech_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:00:14 PM	1	2	NPOC	29.29	28.97	10.77	NPOC:10.66mg/L	0	80	
Unknown	NPOC	NPOC_6	Nov5-7_Leech_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:02:43 PM	1	3	NPOC	28.89	28.97	10.63	NPOC:10.66mg/L	0	80	
Unknown	NPOC	NPOC_6	Nov5-7_Leech_6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:05:11 PM	1	4	NPOC	28.72	28.97	10.56	NPOC:10.66mg/L	0	80	
Unknown	NPOC	NPOC_7	Nov5-7_Leech_7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:10:34 PM	1	1	NPOC	20.99	22.58	7.721	NPOC:8.305mg/L	1	80	
Unknown	NPOC	NPOC_7	Nov5-7_Leech_7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:13:02 PM	1	2	NPOC	22.35	22.58	8.222	NPOC:8.305mg/L	0	80	
Unknown	NPOC	NPOC_7	Nov5-7_Leech_7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:15:24 PM	1	3	NPOC	22.86	22.58	8.409	NPOC:8.305mg/L	0	80	
Unknown	NPOC	NPOC_7	Nov5-7_Leech_7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 1:17:55 PM	1	4	NPOC	22.52	22.58	8.284	NPOC:8.305mg/L	0	80	
