[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	2/23/2020 1:25:11 AM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_5	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:30:09 AM	1	4	NPOC	14.20	4.717	NPOC:4.661mg/L	0	80	
Unknown	NPOC	NPOC_5	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:32:30 AM	1	5	NPOC	14.07	4.674	NPOC:4.661mg/L	0	80	
Unknown	NPOC	NPOC_6	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:37:38 AM	1	1	NPOC	12.79	4.248	NPOC:4.288mg/L	0	80	
Unknown	NPOC	NPOC_6	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:40:01 AM	1	2	NPOC	13.06	4.338	NPOC:4.288mg/L	0	80	
Unknown	NPOC	NPOC_6	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:42:11 AM	1	3	NPOC	9.981	3.315	NPOC:4.288mg/L	1	80	
Unknown	NPOC	NPOC_6	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:44:38 AM	1	4	NPOC	12.88	4.278	NPOC:4.288mg/L	0	80	
Unknown	NPOC	NPOC_7	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:49:53 AM	1	1	NPOC	20.80	6.909	NPOC:6.952mg/L	0	80	
Unknown	NPOC	NPOC_7	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:52:24 AM	1	2	NPOC	21.05	6.992	NPOC:6.952mg/L	0	80	
Unknown	NPOC	NPOC_7	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:54:57 AM	1	3	NPOC	20.94	6.956	NPOC:6.952mg/L	0	80	
Unknown	NPOC	NPOC_8	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:00:18 AM	1	1	NPOC	12.69	4.215	NPOC:4.222mg/L	0	80	
Unknown	NPOC	NPOC_8	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:02:32 AM	1	2	NPOC	12.56	4.172	NPOC:4.222mg/L	0	80	
Unknown	NPOC	NPOC_8	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:04:55 AM	1	3	NPOC	12.88	4.278	NPOC:4.222mg/L	0	80	
Unknown	NPOC	NPOC_9	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:10:13 AM	1	1	NPOC	12.05	4.003	NPOC:4.255mg/L	1	80	
Unknown	NPOC	NPOC_9	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:12:40 AM	1	2	NPOC	12.89	4.282	NPOC:4.255mg/L	0	80	
Unknown	NPOC	NPOC_9	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:15:02 AM	1	3	NPOC	12.81	4.255	NPOC:4.255mg/L	0	80	
Unknown	NPOC	NPOC_9	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:17:26 AM	1	4	NPOC	12.73	4.228	NPOC:4.255mg/L	0	80	
Unknown	NPOC	NPOC_10	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:22:44 AM	1	1	NPOC	11.32	3.760	NPOC:3.782mg/L	0	80	
Unknown	NPOC	NPOC_10	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:25:07 AM	1	2	NPOC	11.60	3.853	NPOC:3.782mg/L	0	80	
Unknown	NPOC	NPOC_10	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:27:33 AM	1	3	NPOC	11.81	3.923	NPOC:3.782mg/L	1	80	
Unknown	NPOC	NPOC_10	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:29:48 AM	1	4	NPOC	11.24	3.734	NPOC:3.782mg/L	0	80	
Unknown	NPOC	NPOC_11	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:34:54 AM	1	1	NPOC	13.07	4.341	NPOC:4.945mg/L	1	80	
Unknown	NPOC	NPOC_11	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:37:18 AM	1	2	NPOC	14.74	4.896	NPOC:4.945mg/L	0	80	
Unknown	NPOC	NPOC_11	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 3:39:46 AM	1	3	NPOC	14.92	4.956	NPOC:4.945mg/L	0	80	
