[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	2/7/2019 3:50:02 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_4	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:50:02 PM	1	5	NPOC	9.231	9.078	3.396	NPOC:3.339mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:55:09 PM	1	1	NPOC	4.944	5.016	1.819	NPOC:1.845mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:57:18 PM	1	2	NPOC	4.979	5.016	1.832	NPOC:1.845mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:59:27 PM	1	3	NPOC	5.126	5.016	1.886	NPOC:1.845mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:04:47 PM	1	1	NPOC	8.320	9.645	3.061	NPOC:3.548mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:07:02 PM	1	2	NPOC	8.716	9.645	3.206	NPOC:3.548mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:09:29 PM	1	3	NPOC	9.469	9.645	3.483	NPOC:3.548mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:11:57 PM	1	4	NPOC	9.743	9.645	3.584	NPOC:3.548mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:14:33 PM	1	5	NPOC	9.723	9.645	3.577	NPOC:3.548mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:19:38 PM	1	1	NPOC	7.285	8.263	2.680	NPOC:3.040mg/L	1	80	
Unknown	NPOC	NPOC_7	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:21:57 PM	1	2	NPOC	8.225	8.263	3.026	NPOC:3.040mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:24:24 PM	1	3	NPOC	8.532	8.263	3.139	NPOC:3.040mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:26:52 PM	1	4	NPOC	9.088	8.263	3.343	NPOC:3.040mg/L	1	80	
Unknown	NPOC	NPOC_7	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:29:11 PM	1	5	NPOC	8.033	8.263	2.955	NPOC:3.040mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:34:18 PM	1	1	NPOC	6.183	7.017	2.274	NPOC:2.581mg/L	1	80	
Unknown	NPOC	NPOC_8	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:36:36 PM	1	2	NPOC	6.898	7.017	2.537	NPOC:2.581mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:39:02 PM	1	3	NPOC	7.150	7.017	2.630	NPOC:2.581mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:41:26 PM	1	4	NPOC	7.003	7.017	2.576	NPOC:2.581mg/L	0	80	
Unknown	NPOC	NPOC_9	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 5:46:42 PM	1	1	NPOC	7.444	8.180	2.738	NPOC:3.009mg/L	1	80	
