[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	4/12/2019 1:25:32 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_4	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:31:20 PM	1	4	NPOC	17.66	17.84	6.496	NPOC:6.561mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:36:35 PM	1	1	NPOC	6.521	6.435	2.399	NPOC:2.367mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:38:49 PM	1	2	NPOC	6.015	6.435	2.213	NPOC:2.367mg/L	1	80	
Unknown	NPOC	NPOC_5	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:41:11 PM	1	3	NPOC	6.437	6.435	2.368	NPOC:2.367mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:43:32 PM	1	4	NPOC	6.348	6.435	2.335	NPOC:2.367mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:48:47 PM	1	1	NPOC	7.386	8.599	2.717	NPOC:3.163mg/L	1	80	
Unknown	NPOC	NPOC_6	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:51:12 PM	1	2	NPOC	8.592	8.599	3.161	NPOC:3.163mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:53:41 PM	1	3	NPOC	8.549	8.599	3.145	NPOC:3.163mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:56:09 PM	1	4	NPOC	8.656	8.599	3.184	NPOC:3.163mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:01:25 PM	1	1	NPOC	7.359	8.352	2.707	NPOC:3.072mg/L	1	80	
Unknown	NPOC	NPOC_7	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:03:43 PM	1	2	NPOC	7.805	8.352	2.871	NPOC:3.072mg/L	1	80	
Unknown	NPOC	NPOC_7	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:06:06 PM	1	3	NPOC	8.322	8.352	3.061	NPOC:3.072mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:08:37 PM	1	4	NPOC	8.275	8.352	3.044	NPOC:3.072mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:11:05 PM	1	5	NPOC	8.458	8.352	3.111	NPOC:3.072mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:16:13 PM	1	1	NPOC	7.320	7.449	2.693	NPOC:2.740mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:18:30 PM	1	2	NPOC	7.291	7.449	2.682	NPOC:2.740mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:20:54 PM	1	3	NPOC	7.736	7.449	2.846	NPOC:2.740mg/L	0	80	
Unknown	NPOC	NPOC_8	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:23:15 PM	1	4	NPOC	8.158	7.449	3.001	NPOC:2.740mg/L	1	80	
Unknown	NPOC	NPOC_8	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:25:42 PM	1	5	NPOC	8.364	7.449	3.077	NPOC:2.740mg/L	1	80	
Unknown	NPOC	NPOC_9	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:30:54 PM	1	1	NPOC	7.023	7.858	2.583	NPOC:2.891mg/L	1	80	
Unknown	NPOC	NPOC_9	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:33:07 PM	1	2	NPOC	6.799	7.858	2.501	NPOC:2.891mg/L	1	80	
Unknown	NPOC	NPOC_9	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 3:35:26 PM	1	3	NPOC	7.560	7.858	2.781	NPOC:2.891mg/L	0	80	
