Trip,Parameters,UNITS,MAC,AO,OG,site,metals_values,NPOC_ppm,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA,Site,metal_parameters
3,Total Magnesium (Mg),mg/L,NA,NA,NA,WEEKSOUT,0.63,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Magnesium (Mg)
3,Total Magnesium (Mg),mg/L,NA,NA,NA,TUNNEL,0.487,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Magnesium (Mg)
3,Total Magnesium (Mg),mg/L,NA,NA,NA,LEECHHEAD,0.61,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Magnesium (Mg)
3,Total Magnesium (Mg),mg/L,NA,NA,NA,CRAGGCREEK,0.627,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Magnesium (Mg)
3,Total Magnesium (Mg),mg/L,NA,NA,NA,CHRISCREEK,0.655,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Magnesium (Mg)
3,Total Potassium (K),mg/L,NA,NA,NA,WESTLEECH,0.153,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Potassium (K)
3,Total Potassium (K),mg/L,NA,NA,NA,WEEKSOUT,0.112,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Potassium (K)
3,Total Potassium (K),mg/L,NA,NA,NA,TUNNEL,0.124,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Potassium (K)
3,Total Potassium (K),mg/L,NA,NA,NA,LEECHHEAD,0.092,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Potassium (K)
3,Total Potassium (K),mg/L,NA,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Potassium (K)
3,Total Potassium (K),mg/L,NA,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Potassium (K)
3,Total Sodium (Na),mg/L,NA,200,NA,WESTLEECH,1.68,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Sodium (Na)
3,Total Sodium (Na),mg/L,NA,200,NA,WEEKSOUT,1.68,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Sodium (Na)
3,Total Sodium (Na),mg/L,NA,200,NA,TUNNEL,1.62,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Sodium (Na)
3,Total Sodium (Na),mg/L,NA,200,NA,LEECHHEAD,1.63,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Sodium (Na)
3,Total Sodium (Na),mg/L,NA,200,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Sodium (Na)
3,Total Sodium (Na),mg/L,NA,200,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Sodium (Na)
3,Total Sulphur (S),mg/L,NA,NA,NA,WESTLEECH,NA,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Sulphur (S)
3,Total Sulphur (S),mg/L,NA,NA,NA,WEEKSOUT,NA,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Sulphur (S)
3,Total Sulphur (S),mg/L,NA,NA,NA,TUNNEL,NA,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Sulphur (S)
3,Total Sulphur (S),mg/L,NA,NA,NA,LEECHHEAD,NA,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Sulphur (S)
3,Total Sulphur (S),mg/L,NA,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Sulphur (S)
3,Total Sulphur (S),mg/L,NA,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Sulphur (S)
3,Total Aluminum (Al),ug/L,NA,NA,100,WESTLEECH,166,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Aluminum (Al)
3,Total Aluminum (Al),ug/L,NA,NA,100,WEEKSOUT,468,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Aluminum (Al)
3,Total Aluminum (Al),ug/L,NA,NA,100,TUNNEL,122,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Aluminum (Al)
3,Total Aluminum (Al),ug/L,NA,NA,100,LEECHHEAD,179,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Aluminum (Al)
3,Total Aluminum (Al),ug/L,NA,NA,100,CRAGGCREEK,100,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Aluminum (Al)
3,Total Aluminum (Al),ug/L,NA,NA,100,CHRISCREEK,74.4,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Aluminum (Al)
3,Total Antimony (Sb),ug/L,6,NA,NA,WESTLEECH,NA,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Antimony (Sb)
3,Total Antimony (Sb),ug/L,6,NA,NA,WEEKSOUT,NA,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Antimony (Sb)
3,Total Antimony (Sb),ug/L,6,NA,NA,TUNNEL,NA,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Antimony (Sb)
3,Total Antimony (Sb),ug/L,6,NA,NA,LEECHHEAD,NA,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Antimony (Sb)
3,Total Antimony (Sb),ug/L,6,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Antimony (Sb)
3,Total Antimony (Sb),ug/L,6,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Antimony (Sb)
3,Total Arsenic (As),ug/L,10,NA,NA,WESTLEECH,0.1,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Arsenic (As)
3,Total Arsenic (As),ug/L,10,NA,NA,WEEKSOUT,0.17,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Arsenic (As)
3,Total Arsenic (As),ug/L,10,NA,NA,TUNNEL,NA,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Arsenic (As)
3,Total Arsenic (As),ug/L,10,NA,NA,LEECHHEAD,NA,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Arsenic (As)
3,Total Arsenic (As),ug/L,10,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Arsenic (As)
3,Total Arsenic (As),ug/L,10,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Arsenic (As)
3,Total Barium (Ba),ug/L,1000,NA,NA,WESTLEECH,3.5,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Barium (Ba)
3,Total Barium (Ba),ug/L,1000,NA,NA,WEEKSOUT,5.2,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Barium (Ba)
3,Total Barium (Ba),ug/L,1000,NA,NA,TUNNEL,2.9,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Barium (Ba)
3,Total Barium (Ba),ug/L,1000,NA,NA,LEECHHEAD,3.7,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Barium (Ba)
3,Total Barium (Ba),ug/L,1000,NA,NA,CRAGGCREEK,2.3,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Barium (Ba)
3,Total Barium (Ba),ug/L,1000,NA,NA,CHRISCREEK,2.5,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Barium (Ba)
