site,trip,sample_type,sample,sampleStage_cm,analysis,NPOC_ppm,DateTime,corr_stage_cm,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA,DateTime_sampled,Date,event_ID,rain_season,collection,Date_sampled,Date_collected,HoldTime_days
LeechHead,8,Grab,Grab,92.953,DOC,3.994,2019-05-15T17:45:00Z,92.953,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T17:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Weeks,8,Grab,Grab,33.42,DOC,7.54,2019-05-15T18:30:00Z,33.42,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T18:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
ChrisCrk,8,Grab,Grab,19.344,DOC,1.914,2019-05-15T19:15:00Z,19.344,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T18:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
CraggCrk,8,Grab,Grab,8.370000000000001,DOC,1.788,2019-05-15T20:15:00Z,8.370000000000001,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T19:30:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,Grab,-0.29000000000000004,DOC,1.737,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,R1,-0.29000000000000004,DOC,1.968,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,R2,-0.29000000000000004,DOC,1.649,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,R3,-0.29000000000000004,DOC,1.806,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,R4,-0.29000000000000004,DOC,1.818,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
Tunnel,8,Grab,R5,-0.29000000000000004,DOC,1.73,2019-05-15T21:15:00Z,-0.29000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T20:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
WestLeech,8,Grab,Grab,16.05,DOC,1.997,2019-05-15T22:30:00Z,16.05,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,2019-05-15T22:35:00Z,2019-05-15,NA,dry,2019-05-16T08:00:00Z,2019-05-15,2019-05-16,1
WestLeech,10,Grab,Grab,11.120000000000001,DOC,5.549,2019-06-12T17:30:00Z,11.120000000000001,0,2.5116666666666667,2.146,5.234666666666667,6.048616666666667,1.0077270391597866,4.345039935177683,0.4568309922161582,dry,0.9433531567249354,1.0900372439478585,2019-06-12T17:35:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
Tunnel,10,Grab,Grab,-0.43999999999999995,DOC,6.369,2019-06-12T18:30:00Z,-0.43999999999999995,0,2.586,2.205,5.378,6.22045,1.0076360288456523,4.311850776276109,0.4257718939163001,dry,0.8444025749725232,0.9766760872978489,2019-06-12T18:35:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
CraggCrk,10,Grab,Grab,3.63,DOC,5.02,2019-06-12T19:15:00Z,3.63,0,2.5549999999999997,2.257,5.504333333333333,6.158566666666667,1.0098762822767895,4.472083607946521,0.5020154517971112,dry,1.096480743691899,1.2268061088977427,2019-06-12T18:30:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
LeechHead,10,Grab,Grab,85.613,DOC,6.842,2019-06-12T20:15:00Z,85.613,0,3.8516666666666666,3.2796666666666665,7.999333333333333,9.2669,1.002935161370043,4.452810871183917,0.26456678017404467,dry,1.1691513202767223,1.3544139140602163,2019-06-12T19:35:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
Weeks,10,Grab,Grab,24.24,DOC,12.81,2019-06-12T21:45:00Z,24.24,0.562,14.369,11.367999999999999,27.7265,34.427525,1.0002069947337053,4.228953667999198,-3.966991341991342,dry,2.1644418423106946,2.687550741608119,2019-06-12T21:35:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
ChrisCrk,10,Grab,Grab,17.364,DOC,6.766,2019-06-12T22:00:00Z,17.364,0,3.094666666666667,2.6936666666666667,6.570333333333333,7.453516666666666,1.0058668837628453,4.463377741578917,0.41553454185076594,dry,0.9710808946694255,1.1016134594541334,2019-06-12T21:35:00Z,2019-06-12,NA,dry,2019-06-12T08:00:00Z,2019-06-12,2019-06-12,0
WestLeech,11,Grab,Grab,11.43,DOC,4.788,2019-06-28T17:30:00Z,11.43,0,2.493333333333333,2.131666666666667,5.199,6.000816666666667,1.004109913384772,4.272498324900072,0.44365404529287294,dry,1.0858395989974936,1.2533033973823449,2019-06-28T17:35:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
Tunnel,11,Grab,Grab,-0.29000000000000004,DOC,6.066,2019-06-28T18:45:00Z,-0.29000000000000004,0,2.5166666666666666,2.124833333333333,5.182333333333333,6.062666666666667,1.0047401268356717,4.087451513225658,0.39808554633953674,dry,0.8543246510605561,0.9994504890647324,2019-06-28T18:35:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
CraggCrk,11,Grab,Grab,3.63,DOC,4.184,2019-06-28T19:30:00Z,3.63,0,2.4313333333333333,2.121,5.172666666666666,5.854283333333333,1.007208698576402,4.386388557226053,0.4769691780821918,dry,1.2362970044614403,1.39920729764181,2019-06-28T19:30:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
LeechHead,11,Grab,Grab,85.613,DOC,6.168,2019-06-28T20:30:00Z,85.613,0,3.667333333333333,3.1046666666666667,7.572666666666667,8.818633333333334,1.0024508549697981,4.376067552815771,0.26668826960466624,dry,1.2277345438824039,1.429739515780372,2019-06-28T20:35:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
Weeks,11,Grab,Grab,21.32,DOC,12.01,2019-06-28T20:45:00Z,21.32,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-06-28T20:35:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
ChrisCrk,11,Grab,Grab,17.304000000000002,DOC,6.447,2019-06-28T21:20:00Z,17.304000000000002,0,3.8213333333333335,3.344333333333333,8.157666666666668,9.20015,1.0033476853827508,4.584172011049546,0.3812229870337762,dry,1.2653430536166694,1.4270435861641075,2019-06-28T20:35:00Z,2019-06-28,NA,dry,2019-06-28T08:00:00Z,2019-06-28,2019-06-28,0
Tunnel,12,Grab,Grab,-0.3400000000000003,DOC,5.968,2019-07-15T17:30:00Z,-0.3400000000000003,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-15T17:35:00Z,2019-07-15,NA,dry,2019-07-19T08:00:00Z,2019-07-15,2019-07-19,4
Tunnel,12,Grab,Grab,-0.5,DOC,6.078,2019-07-16T17:30:00Z,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-16T17:35:00Z,2019-07-16,NA,dry,2019-07-19T08:00:00Z,2019-07-16,2019-07-19,3
CraggCrk,12,Grab,Grab,3.6799999999999997,DOC,4.443,2019-07-16T18:30:00Z,3.6799999999999997,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-16T18:30:00Z,2019-07-16,NA,dry,2019-07-19T08:00:00Z,2019-07-16,2019-07-19,3
WestLeech,12,Grab,Grab,12.360000000000001,DOC,6.396,2019-07-17T15:45:00Z,12.360000000000001,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-17T15:35:00Z,2019-07-17,NA,dry,2019-07-19T08:00:00Z,2019-07-17,2019-07-19,2
LeechHead,12,Grab,Grab,85.773,DOC,6.508,2019-07-18T21:00:00Z,85.773,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-18T20:35:00Z,2019-07-18,NA,dry,2019-07-19T08:00:00Z,2019-07-18,2019-07-19,1
Tunnel,12,Grab,Grab,-0.3400000000000003,DOC,5.588,2019-07-19T21:15:00Z,-0.3400000000000003,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-07-19T20:35:00Z,2019-07-19,NA,dry,2019-07-19T08:00:00Z,2019-07-19,2019-07-19,0
ChrisCrk,13,Grab,Grab,16.614,DOC,6.042,2019-07-24T18:15:00Z,16.614,0,2.679333333333333,2.328,5.678,6.450566666666667,1.0057341191893716,4.5171616937402295,0.44820536119945475,dry,0.9397550479973519,1.067621096767075,2019-07-24T17:35:00Z,2019-07-24,NA,dry,2019-07-26T08:00:00Z,2019-07-24,2019-07-26,2
Weeks,13,Grab,Grab,14.85,DOC,8.986,2019-07-24T19:30:00Z,14.85,0.3666666666666667,11.035666666666666,8.541,20.832,26.471333333333334,1.0003177641038599,3.7989208069525473,-3.0022976767934644,dry,2.3182728689071888,2.9458416796498255,2019-07-24T19:35:00Z,2019-07-24,NA,dry,2019-07-26T08:00:00Z,2019-07-24,2019-07-26,2
LeechHead,13,Grab,Grab,82.96300000000001,DOC,6.017,2019-07-24T19:50:00Z,82.96300000000001,0,3.342,2.8853333333333335,7.0376666666666665,8.04585,1.0033698266500337,4.398156649480896,0.3857741627588497,dry,1.1696304913855187,1.337186305467841,2019-07-24T19:35:00Z,2019-07-24,NA,dry,2019-07-26T08:00:00Z,2019-07-24,2019-07-26,2
CraggCrk,13,Grab,Grab,3.63,DOC,3.751,2019-07-24T21:00:00Z,3.63,0,2.1443333333333334,1.9236666666666666,4.692,5.16935,1.0092925178264278,4.397341292872343,0.540395358831113,dry,1.2508664356171688,1.3781258331111703,2019-07-24T20:30:00Z,2019-07-24,NA,dry,2019-07-26T08:00:00Z,2019-07-24,2019-07-26,2
CraggCrk,14,Grab,Grab,4.15,DOC,5.735,2019-08-21T16:30:00Z,4.15,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-21T16:30:00Z,2019-08-21,NA,dry,2019-08-23T08:00:00Z,2019-08-21,2019-08-23,2
ChrisCrk,14,Grab,Grab,16.664,DOC,8.265,2019-08-21T20:20:00Z,16.664,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-21T19:35:00Z,2019-08-21,NA,dry,2019-08-23T08:00:00Z,2019-08-21,2019-08-23,2
LeechHead,14,Grab,Grab,84.683,DOC,7.091,2019-08-22T16:20:00Z,84.683,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-22T15:30:00Z,2019-08-22,NA,dry,2019-08-23T08:00:00Z,2019-08-22,2019-08-23,1
Weeks,14,Grab,Grab,13.909999999999998,DOC,10.25,2019-08-22T17:20:00Z,13.909999999999998,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-22T16:30:00Z,2019-08-22,NA,dry,2019-08-23T08:00:00Z,2019-08-22,2019-08-23,1
Tunnel,14,Grab,Grab,-0.08000000000000007,DOC,6.469,2019-08-22T21:25:00Z,-0.08000000000000007,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-22T20:35:00Z,2019-08-22,NA,dry,2019-08-23T08:00:00Z,2019-08-22,2019-08-23,1
WestLeech,14,Grab,Grab,11.33,DOC,4.684,2019-08-23T16:20:00Z,11.33,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,2019-08-23T15:35:00Z,2019-08-23,NA,dry,2019-08-23T08:00:00Z,2019-08-23,2019-08-23,0
CraggCrk,15,Grab,Grab,8.26,DOC,7.227,2019-09-20T17:10:00Z,8.26,0.39333333333333337,4.029333333333334,3.5803333333333334,8.733,9.69385,1.0032685351622628,5.032264515698954,0.40436183179522894,dry,1.2083852220838522,1.3413380379133801,2019-09-20T16:33:00Z,2019-09-20,9,wet,2019-09-21T08:00:00Z,2019-09-20,2019-09-21,1
ChrisCrk,15,Grab,Grab,18.764000000000003,DOC,9.037,2019-09-20T18:25:00Z,18.764000000000003,0.117,6.358333333333333,5.5423333333333336,13.518333333333333,15.289416666666666,1.0009639847032674,4.9777166638782004,0.11125296370600038,dry,1.49588727822655,1.6918686142156318,2019-09-20T17:35:00Z,2019-09-20,9,wet,2019-09-21T08:00:00Z,2019-09-20,2019-09-21,1
Weeks,15,Grab,Grab,25.599999999999998,DOC,13.44,2019-09-20T19:10:00Z,25.599999999999998,0.7583333333333333,15.641333333333334,12.443333333333333,30.349,37.3794,0.9997533338190545,4.35095675829517,-5.116214779372673,dry,2.258110119047619,2.781205357142857,2019-09-20T18:33:00Z,2019-09-20,9,wet,2019-09-21T08:00:00Z,2019-09-20,2019-09-21,1
WestLeech,15,Grab,Grab,14.700000000000001,DOC,9.078,2019-09-20T21:30:00Z,14.700000000000001,0.4206666666666667,9.734333333333334,8.292333333333334,20.224666666666668,23.358133333333335,1.0000957316252874,4.936055194037315,-0.6321039730946816,dry,2.2278769185576857,2.5730483953881182,2019-09-20T21:37:00Z,2019-09-20,9,wet,2019-09-21T08:00:00Z,2019-09-20,2019-09-21,1
