Site Name:  CRAGG CREEK
Site Number:    4
Logger:     Capacitive Water Level
Logger S/N:   12041
Logging Started On: 25/10/2018 11:40:00
Scan Time:  00:10:00
Data Saved on:  07/11/2018  11:19:54


Scan No ,Date,Time,       Capacitive Water Level,        ,
        ,        ,        ,        Raw Value,cm,

1,25/10/2018 , 11:40:00,1997,2.72
2,25/10/2018 , 11:50:00,1997,2.72
3,25/10/2018 , 12:00:00,1996,2.67
4,25/10/2018 , 12:10:00,1995,2.62
5,25/10/2018 , 12:20:00,1994,2.57
6,25/10/2018 , 12:30:00,1993,2.52
7,25/10/2018 , 12:40:00,1992,2.46
8,25/10/2018 , 12:50:00,1992,2.46
9,25/10/2018 , 13:00:00,1992,2.46
10,25/10/2018 , 13:10:00,1992,2.46
11,25/10/2018 , 13:20:00,1991,2.41
12,25/10/2018 , 13:30:00,1991,2.41
13,25/10/2018 , 13:40:00,1991,2.41
14,25/10/2018 , 13:50:00,1991,2.41
15,25/10/2018 , 14:00:00,1991,2.41
16,25/10/2018 , 14:10:00,1991,2.41
17,25/10/2018 , 14:20:00,1990,2.36
18,25/10/2018 , 14:30:00,1990,2.36
19,25/10/2018 , 14:40:00,1990,2.36
20,25/10/2018 , 14:50:00,1990,2.36
21,25/10/2018 , 15:00:00,1990,2.36
22,25/10/2018 , 15:10:00,1990,2.36
23,25/10/2018 , 15:20:00,1991,2.41
24,25/10/2018 , 15:30:00,1991,2.41
25,25/10/2018 , 15:40:00,1991,2.41
26,25/10/2018 , 15:50:00,1991,2.41
27,25/10/2018 , 16:00:00,1991,2.41
28,25/10/2018 , 16:10:00,1991,2.41
29,25/10/2018 , 16:20:00,1991,2.41
30,25/10/2018 , 16:30:00,1991,2.41
31,25/10/2018 , 16:40:00,1991,2.41
32,25/10/2018 , 16:50:00,1991,2.41
33,25/10/2018 , 17:00:00,1991,2.41
34,25/10/2018 , 17:10:00,1991,2.41
35,25/10/2018 , 17:20:00,1991,2.41
36,25/10/2018 , 17:30:00,1991,2.41
37,25/10/2018 , 17:40:00,1991,2.41
38,25/10/2018 , 17:50:00,1991,2.41
39,25/10/2018 , 18:00:00,1993,2.52
40,25/10/2018 , 18:10:00,1993,2.52
41,25/10/2018 , 18:20:00,1992,2.46
42,25/10/2018 , 18:30:00,1992,2.46
43,25/10/2018 , 18:40:00,1992,2.46
44,25/10/2018 , 18:50:00,1992,2.46
45,25/10/2018 , 19:00:00,1992,2.46
46,25/10/2018 , 19:10:00,1992,2.46
