Site Name:  LEECH HEAD
Site Number:    2
Logger:     Capacitive Water Level
Logger S/N:   12040
Logging Started On: 24/10/2018 15:45:00
Scan Time:  00:10:00
Data Saved on:  06/11/2018  12:34:50


Scan No ,Date,Time,       Capacitive Water Level,        ,
        ,        ,        ,        Raw Value,cm,

111,25/10/2018 , 10:05:00,2591,35.46
112,25/10/2018 , 10:15:00,2592,35.51
113,25/10/2018 , 10:25:00,2594,35.61
114,25/10/2018 , 10:35:00,2595,35.66
115,25/10/2018 , 10:45:00,2597,35.77
116,25/10/2018 , 10:55:00,2597,35.77
117,25/10/2018 , 11:05:00,2597,35.77
118,25/10/2018 , 11:15:00,2597,35.77
119,25/10/2018 , 11:25:00,2597,35.77
120,25/10/2018 , 11:35:00,2598,35.82
121,25/10/2018 , 11:45:00,2599,35.87
122,25/10/2018 , 11:55:00,2598,35.82
123,25/10/2018 , 12:05:00,2599,35.87
124,25/10/2018 , 12:15:00,2598,35.82
125,25/10/2018 , 12:25:00,2600,35.92
126,25/10/2018 , 12:35:00,2600,35.92
127,25/10/2018 , 12:45:00,2601,35.98
128,25/10/2018 , 12:55:00,2601,35.98
129,25/10/2018 , 13:05:00,2601,35.98
130,25/10/2018 , 13:15:00,2601,35.98
131,25/10/2018 , 13:25:00,2602,36.03
132,25/10/2018 , 13:35:00,2603,36.08
133,25/10/2018 , 13:45:00,2604,36.13
134,25/10/2018 , 13:55:00,2604,36.13
135,25/10/2018 , 14:05:00,2604,36.13
136,25/10/2018 , 14:15:00,2604,36.13
137,25/10/2018 , 14:25:00,2605,36.18
138,25/10/2018 , 14:35:00,2605,36.18
139,25/10/2018 , 14:45:00,2605,36.18
140,25/10/2018 , 14:55:00,2604,36.13
141,25/10/2018 , 15:05:00,2605,36.18
142,25/10/2018 , 15:15:00,2604,36.13
143,25/10/2018 , 15:25:00,2605,36.18
144,25/10/2018 , 15:35:00,2604,36.13
145,25/10/2018 , 15:45:00,2604,36.13
146,25/10/2018 , 15:55:00,2605,36.18
147,25/10/2018 , 16:05:00,2604,36.13
148,25/10/2018 , 16:15:00,2604,36.13
149,25/10/2018 , 16:25:00,2604,36.13
150,25/10/2018 , 16:35:00,2605,36.18
151,25/10/2018 , 16:45:00,2604,36.13
152,25/10/2018 , 16:55:00,2604,36.13
153,25/10/2018 , 17:05:00,2604,36.13
154,25/10/2018 , 17:15:00,2604,36.13
155,25/10/2018 , 17:25:00,2604,36.13
156,25/10/2018 , 17:35:00,2604,36.13
157,25/10/2018 , 17:45:00,2604,36.13
158,25/10/2018 , 17:55:00,2605,36.18
