Trip,Parameters,UNITS,MAC,AO,OG,WESTLEECH,WEEKSOUT,TUNNEL,LEECHHEAD,CRAGGCREEK,CHRISCREEK,BONEYARD
4,Total Titanium (Ti),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
4,Total Uranium (U),ug/L,20,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
4,Total Vanadium (V),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
4,Total Zinc (Zn),ug/L,-,5000,-,<5.0,<5.0,<5.0,9.2,6.5,<5.0,-
4,Total Zirconium (Zr),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
4,Total Calcium (Ca),mg/L,-,-,-,2.05,1.92,2.57,2.05,2.28,1.93,-
4,Total Magnesium (Mg),mg/L,-,-,-,0.443,0.534,0.543,0.542,0.571,0.596,-
4,Total Potassium (K),mg/L,-,-,-,0.225,0.115,0.131,0.107,<0.050,<0.050,-
4,Total Sodium (Na),mg/L,-,200,-,2.14,1.55,1.77,1.52,1.36,1.38,-
4,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,<3.0,<3.0,<3.0,<3.0,-
5,Total Hardness (CaCO3),mg/L,-,-,-,5.01,5.33,6.55,5.09,6.01,5.34,-
5,Total Mercury (Hg),ug/L,1,-,-,<0.0020,0.0027,<0.0020,0.002,<0.0020,<0.0020,-
5,Total Aluminum (Al),ug/L,-,-,100,70.5,159,86.7,109,70.9,51.1,-
5,Total Antimony (Sb),ug/L,6,-,-,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,-
5,Total Arsenic (As),ug/L,10,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
5,Total Barium (Ba),ug/L,1000,-,-,3,3.1,2.4,2.6,1.7,1.9,-
5,Total Beryllium (Be),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
5,Total Bismuth (Bi),ug/L,-,-,-,<1.0 (1),<1.0,<1.0,<1.0,<1.0,<1.0,-
5,Total Boron (B),ug/L,5000,-,-,<50,<50,<50,<50,<50,<50,-
5,Total Cadmium (Cd),ug/L,5,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
5,Total Chromium (Cr),ug/L,50,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
5,Total Cobalt (Co),ug/L,-,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
5,Total Copper (Cu),ug/L,-,1000,-,0.36,0.59,0.84,<0.50,<0.50,0.28,-
5,Total Iron (Fe),ug/L,-,300,-,23.1,102,32,54,18,14.2,-
5,Total Lead (Pb),ug/L,10,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
5,Total Manganese (Mn),ug/L,-,50,-,<1.0,3.6,<1.0,2.2,<1.0,<1.0,-
5,Total Molybdenum (Mo),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
