# metals samples collected by Hannah McSorley,,
# samples for CRD with analysis by Maxxam Analytical Lab,,
,,
field-trip_start,metas_samples_to_CRD,metals_sampled
2018-11-23,2018-11-23,yes
2018-12-05,2018-12-07,yes
2019-01-06,2019-01-08,yes
2019-02-04,2019-02-06,yes
2019-04-09,2019-04-11,yes
2019-05-14,2019-05-16,yes
2019-06-12,2019-06-12,yes
2019-07-24,2019-07-26,yes
