site,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,9.902696428571428,3.6104328721568346,36.45908867548391,3.782,19.07
ChrisCrk,4.852244897959184,2.0027456729305837,41.27462061473695,1.845,9.157
LeechHead,7.077038461538462,1.6785814151000111,23.71869849545947,3.95,11.64
CraggCrk,4.6974202898550725,1.4769654044874767,31.4420535815637,1.788,8.219
WestLeech,5.5837164179104475,2.271615896668954,40.6828665113162,1.997,10.95
Tunnel,4.770418918918919,1.7292423870186124,36.24927739911145,1.649,9.024
All (summary),6.026046321525886,2.85270904044439,47.33964673079448,1.649,19.07
