site,subbasin_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,headwater,56,9.902696428571428,3.6104328721568346,36.45908867548391,3.782,9.4385,19.07
ChrisCrk,headwater,49,4.852244897959184,2.0027456729305837,41.27462061473695,1.845,4.739,9.157
LeechHead,headwater,52,7.077038461538462,1.6785814151000111,23.71869849545947,3.95,6.85,11.64
CraggCrk,mainstem,69,4.6974202898550725,1.4769654044874767,31.4420535815637,1.788,4.449,8.219
WestLeech,mainstem,67,5.5837164179104475,2.271615896668954,40.6828665113162,1.997,5.358,10.95
Tunnel,outlet,74,4.770418918918919,1.7292423870186124,36.24927739911145,1.649,4.936,9.024
summary,headwater,157,7.390554140127389,3.327614945123849,45.02524279006895,1.845,6.842,19.07
summary,mainstem,136,5.134051470588235,1.9543204078631564,38.06585148316091,1.788,4.7155000000000005,10.95
Total,all,367,6.026046321525886,2.85270904044439,47.33964673079448,1.649,5.577,19.07
