site,subbasin_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,headwaters,53,9.97022641509434,3.625520873143129,36.36347583495499,3.782,9.693,19.07
ChrisCrk,headwaters,48,4.82175,2.012409982128446,41.736091297318325,1.845,4.652,9.157
LeechHead,headwaters,50,7.08302,1.7116800970665862,24.165964476545117,3.95,6.85,11.64
CraggCrk,mainstems,66,4.744439393939394,1.475375458120489,31.096939714419204,1.788,4.452500000000001,8.219
WestLeech,mainstems,66,5.591878787878788,2.288032903980397,40.91706903483033,1.997,5.395,10.95
Tunnel,outlet,61,5.0994754098360655,1.613292953419159,31.636449316088022,1.737,5.118,9.024
summary,headwaters,151,7.377596026490067,3.3581295392501027,45.51793737678738,1.845,6.853,19.07
summary,mainstems,132,5.168159090909091,1.9643149295456186,38.00801978021329,1.788,4.7155000000000005,10.95
