sample_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Grab,109,5.2162201834862385,2.743973448195822,53,1.845,4.371,18.74
Rack,170,6.787623529411765,2.8038555596612125,41,2.589,6.390499999999999,19.07
all,366,6.139934426229508,2.9198892897131308,48,1.637,5.7010000000000005,19.07
