site,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,9.996879999999999,3.4077962035453293,34.08859767792881,3.782,19.07
ChrisCrk,4.968613636363637,2.04667943452723,41.192163132755205,1.845,9.157
LeechHead,7.146847826086956,1.7059399880989863,23.869823866573398,3.95,11.64
CraggCrk,4.709078125,1.5073661071886917,32.009791878079994,1.788,8.219
WestLeech,5.759949152542373,2.3296955582053385,40.44646048962149,1.997,10.95
Tunnel,4.77239393939394,1.8166317511667902,38.06541903784015,1.649,9.024
All (summary),6.089404255319149,2.8507169857828076,46.81438226559981,1.649,19.07
