Site,p-value
Weeks,0.0014049602876020175
ChrisCrk,0.006467691826879395
LeechHead,8.857332904653575e-4
CraggCrk,0.0470189420700361
WestLeech,0.5744954556586295
Tunnel,0.2966381855545395
