site,sample_type,number_of_samples
Weeks,Grab,26
Weeks,Rack,55
ChrisCrk,Grab,22
ChrisCrk,Rack,48
LeechHead,Grab,22
LeechHead,Rack,54
CraggCrk,Grab,35
CraggCrk,Rack,60
WestLeech,Grab,24
WestLeech,Rack,71
Tunnel,Grab,42
Tunnel,Rack,53
