sample_type,char_count,SACmean,SACsd,RSD,SACmin,SACmedian,SACmax,E2E3mean,E2E3sd,E2E3min,E2E3median,E2E3max
Grab,62,17.027682795698926,7.50601241123316,5,7.395,14.6375,37.073,4.574285842178457,0.22057219515799423,4.07444289467709,4.548590738196069,5.032264515698954
Rack,48,21.365041666666666,6.9413831994517645,5,10.254,20.820500000000003,39.816,4.471371559629231,0.20260394994551006,3.923720046447799,4.483601372411943,4.836504617529186
all,164,16.90410975609756,8.368874707384917,27,4.692,14.873,41.66166666666667,4.597602929602314,1.2476417889118645,3.771538692738813,4.501913416357761,20.19584699453552
