site,intensity_mmhr_min,intensity_mmhr_max,time_to_peak_hr_min,time_to_peak_hr_max,stage_change_cm_min,stage_change_cm_max,stage_response_cmhr_min,stage_response_cmhr_max
Weeks,0.8888743882544862,1.2124663677130045,57.333333333333336,159.83333333333334,34.59,47.88999999999999,0.2996246089676746,0.6033139534883721
ChrisCrk,0.7812709030100334,1.2124663677130045,34.166666666666664,192.33333333333334,5.349999999999998,18.620000000000005,0.027816291161178498,0.500780487804878
LeechHead,0.952027027027027,1.2124663677130045,33,38.833333333333336,31.89999999999999,36.47999999999999,0.939399141630901,0.9666666666666665
CraggCrk,0.952027027027027,1.2124663677130045,35.333333333333336,39.5,46.790000000000006,48.97,1.2397468354430379,1.324245283018868
WestLeech,0.952027027027027,0.952027027027027,25.833333333333332,25.833333333333332,36.67,36.67,1.419483870967742,1.419483870967742
Tunnel,0.952027027027027,1.2124663677130045,25.833333333333332,37.333333333333336,65.93,78.32000000000001,1.765982142857143,3.0317419354838715
