site,time_to_peak_hr_min,time_to_peak_hr_max,stage_change_cm_min,stage_change_cm_max,stage_response_cmhr_min,stage_response_cmhr_max
Weeks,16.5,159.83333333333334,9.909999999999997,47.88999999999999,0.16677372262773715,0.6033139534883721
ChrisCrk,15,192.33333333333334,5.349999999999998,44.63,0.027816291161178498,2.7346666666666666
LeechHead,33,167.66666666666666,22.069999999999993,57.09,0.28658718330849475,1.3202803738317763
CraggCrk,18.166666666666668,125.16666666666667,32.73,97.25999999999999,0.26149134487350195,5.353761467889908
WestLeech,25.833333333333332,122.83333333333333,36.67,70.22999999999999,0.32808683853459986,1.419483870967742
Tunnel,18.166666666666668,123.83333333333333,29.009999999999998,135.3,0.44632570659488563,7.447706422018348
