site,sample_type,number_of_samples
Weeks,Grab,17
Weeks,Rack,32
ChrisCrk,Grab,15
ChrisCrk,Rack,27
LeechHead,Grab,13
LeechHead,Rack,30
CraggCrk,Grab,26
CraggCrk,Rack,37
WestLeech,Grab,17
WestLeech,Rack,43
Tunnel,Grab,26
Tunnel,Rack,34
TOTAL,Grab,114
TOTAL,Rack,203
