site,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,56,9.902696428571428,3.6104328721568346,36,3.782,9.4385,19.07
ChrisCrk,49,4.852244897959184,2.0027456729305837,41,1.845,4.739,9.157
LeechHead,51,7.075803921568627,1.695260287030966,24,3.95,6.842,11.64
CraggCrk,69,4.6974202898550725,1.4769654044874767,31,1.788,4.449,8.219
WestLeech,67,5.5837164179104475,2.271615896668954,41,1.997,5.358,10.95
Tunnel,74,4.770418918918919,1.7292423870186124,36,1.649,4.936,9.024
Summary (total),366,6.023002732240437,2.856017441237019,47,1.649,5.5715,19.07
