Site,Proportion of common maxima,Proportion of common minima
Weeks,0.6470588235294118,0.7058823529411765
ChrisCrk,0.8,0.8
LeechHead,0.8888888888888888,0.8888888888888888
CraggCrk,0.8,0.9
WestLeech,0.8636363636363636,0.7727272727272727
Tunnel,0.7647058823529411,0.9411764705882353
all sites,0.7982456140350878,0.8333333333333334
