Comparison Group,Site Comparison,Proportion of common peaks
headwaters,Weeks & ChrisCrk,0.19490301279405695
headwaters,LeechHead & Weeks,0.2018757687576876
headwaters,LeechHead & ChrisCrk,0.26717672522273117
mainstems,LeechHead & CraggCrk,0.2579793394172419
mainstems,LeechHead & WestLeech,0.25488121997443697
mainstems,CraggCrk & WestLeech,0.28282427608092026
mainstem to outlet,LeechHead & Tunnel,0.2612751127511275
mainstem to outlet,CraggCrk & Tunnel,0.25608004817714364
mainstem to outlet,WestLeech & Tunnel,0.2449204460311164
