"SAC254" "DOC" "SUVA254" "THMs" "BDCM" "TCM" "HAAs" "DCAA" "TCAA"
"SAC254" 1 0.744846260359654 0.512732021823606 0.988166466601847 0.653873346732199 0.986938556098329 0.992697845587787 0.994456552091014 0.989998796428949
"DOC" 0.744846260359654 1 -0.169249827189836 0.802854456999928 0.327813325840957 0.805748432793708 0.692921455608947 0.713891116116242 0.683151496001629
"SUVA254" 0.512732021823606 -0.169249827189836 1 0.443609713816413 0.448572198334536 0.439772855724618 0.571434229496598 0.548968676455512 0.578684108746375
"THMs" 0.988166466601847 0.802854456999928 0.443609713816413 1 0.581656611597997 0.999919541540743 0.976075288239703 0.982810653045681 0.971432506536597
"BDCM" 0.653873346732199 0.327813325840957 0.448572198334536 0.581656611597997 1 0.571541027276387 0.5995261354053 0.615449300314388 0.592634764653341
"TCM" 0.986938556098329 0.805748432793708 0.439772855724618 0.999919541540743 0.571541027276387 1 0.975471223805293 0.981982467134319 0.970900563637252
"HAAs" 0.992697845587787 0.692921455608947 0.571434229496598 0.976075288239703 0.5995261354053 0.975471223805293 1 0.996421925596161 0.999367157377448
"DCAA" 0.994456552091014 0.713891116116242 0.548968676455512 0.982810653045681 0.615449300314388 0.981982467134319 0.996421925596161 1 0.992937925403161
"TCAA" 0.989998796428949 0.683151496001629 0.578684108746375 0.971432506536597 0.592634764653341 0.970900563637252 0.999367157377448 0.992937925403161 1
