rain_season,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
dry,55,6.130781818181818,2.988434742599278,49,1.637,6.066,12.81
wet,311,6.1415530546623796,2.912506133386646,47,1.845,5.596,19.07
all,366,6.139934426229508,2.9198892897131308,48,1.637,5.7010000000000005,19.07
