year,min. duration (days),max. duration (days),min rain (mm),max rain (mm),min intensity (mm/hr),max intensity (mm/hr)
2018,0.90625,6.177083333333333,54.515,205.08,0.8436271186440678,2.5197701149425287
2019,1.9791666666666667,6.385416666666667,57.135,227.595,0.7812709030100334,2.2590074441687347
2020,1.875,9.927083333333334,75.925,238.315,0.9344615384615385,4.639222222222222
