site,DOC_min_min,DOC_max_max,DOC_change_mgL_min,DOC_change_mgL_max,DOC_percentDiff_min,DOC_percentDiff_max
Weeks,7.415,16.12,1.6039999999999992,6.427000000000001,16.337339580362592,49.79661410916981
ChrisCrk,2.573,6.746,2.212,3.9240000000000004,60.12503397662409,82.02341137123746
LeechHead,5.715,8.115,1.354,1.9779999999999998,18.203818230707178,29.504773269689732
CraggCrk,3.528,6.778,2.665,3.2499999999999996,52.95578738201689,63.07005627789637
WestLeech,3.728,9.479,5.7509999999999994,5.7509999999999994,87.0901794502915,87.0901794502915
Tunnel,3.668,5.648,1.9799999999999995,1.9799999999999995,42.507513954486896,42.507513954486896
