site,trip,event_ID,DOC,sd_DOC,Nitrate,sd_Nitrate,surrDOC,sd_surrDOC,SAC254,sd_SAC254,est254,sd_est254,SUVA,sd_SUVA,pseudo_SUVA,sd_pseudo_SUVA
Weeks,2,1,12.33,0.5950630218724734,NaN,NA,NaN,NA,NaN,NA,39.849866666666664,2.376015959717726,3.24312580114622,NA,3.24312580114622,NA
ChrisCrk,2,1,7.894666666666667,1.115625534547024,0.4226666666666667,0.09012398866746488,8.677,0.6590045523363253,NaN,NA,24.586166666666667,3.635791139605428,3.169240276505146,NA,3.169240276505146,NA
LeechHead,2,1,9.670666666666667,0.5473073481448372,0.68,0.08545759182190897,11.535666666666666,0.6391653411546445,NaN,NA,33.31613333333333,0.14462774918159232,3.4517020003725802,NA,3.4517020003725802,NA
CraggCrk,2,1,7.2138,1.3875934923456505,0.5836,0.1148316158555648,8.2356,1.7721569625741396,NaN,NA,21.4542,5.524293515124808,2.955564127035888,NA,2.955564127035888,NA
WestLeech,2,1,9.409,1.3506235596938176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,2,2,10.66,NA,0.538,NA,13.075,NA,NaN,NA,21.104300000000002,NA,1.979765478424015,NA,1.979765478424015,NA
ChrisCrk,2,2,3.827,NA,0.027,NA,5.137,NA,NaN,NA,25.857999999999997,NA,6.756728507969688,NA,6.756728507969688,NA
LeechHead,2,2,8.702,NA,0.496,NA,11.229,NA,NaN,NA,36.773849999999996,NA,4.225907837278786,NA,4.225907837278786,NA
CraggCrk,2,2,5.232,NA,0.149,NA,6.621,NA,NaN,NA,29.06075,NA,5.554424694189602,NA,5.554424694189602,NA
WestLeech,2,2,4.635,NA,0.114,NA,6.598,NA,NaN,NA,32.35165,NA,6.9798597626752965,NA,6.9798597626752965,NA
Weeks,3,2,10.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,3,2,5.971500000000001,2.310117854136451,0.33,0.1767766952966369,7.144,1.5556349186104046,NaN,NA,21.331249999999997,4.9358881753945765,3.6882846443020396,NA,3.6882846443020396,NA
LeechHead,3,2,7.675,NA,0.577,NA,11.014,NA,NaN,NA,32.7488,NA,4.266944625407167,NA,4.266944625407167,NA
CraggCrk,3,2,5.2219999999999995,0.0636396103067898,0.28049999999999997,0.02757716446627534,7.23,0.22485995641732248,NaN,NA,21.4699,1.0513970729462765,4.110510797950025,NA,4.110510797950025,NA
WestLeech,3,2,6.362666666666667,0.33058332283001435,0.354,0.09184770002564027,8.293666666666667,1.0813886134657298,NaN,NA,24.948066666666666,3.0929726527781227,3.9207349616378084,NA,3.9207349616378084,NA
ChrisCrk,4,2,4.542,NA,0.193,NA,6.005,NA,NaN,NA,18.027299999999997,NA,3.9690224570673704,NA,3.9690224570673704,NA
CraggCrk,4,2,6.745,NA,0.323,NA,7.892,NA,NaN,NA,23.187849999999997,NA,3.4377835433654553,NA,3.4377835433654553,NA
WestLeech,4,2,5.493,NA,0.226,NA,7.074,NA,NaN,NA,24.592799999999997,NA,4.477116329874384,NA,4.477116329874384,NA
Weeks,4,3,8.358875,1.4981150477945848,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,4,3,5.1555,0.9613720923763077,0.2495,0.06931594333196368,7.002833333333333,0.653626014374173,NaN,NA,21.114466666666665,1.789664903177874,4.166912814601872,NA,4.166912814601872,NA
LeechHead,4,3,6.6858571428571425,0.6655352303651121,NaN,NA,NaN,NA,NaN,NA,29.347114285714287,1.9601071706912454,4.404060601553857,NA,4.404060601553857,NA
CraggCrk,4,3,4.299666666666667,1.2300685617747762,NA,NA,NA,NA,NaN,NA,NaN,NA,NA,NA,NA,NA
WestLeech,4,3,6.9322,0.5126545620590924,0.4712,0.05831980795578804,9.9738,0.4872255124683026,NaN,NA,25.17603,7.162705658269087,3.673508174390109,NA,3.673508174390109,NA
Weeks,5,3,8.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,5,3,6.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,5,3,6.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,5,3,4.1485,0.04313351365237936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,5,4,10.324,0.7155920625607863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,5,4,2.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,5,4,6.86,0.05656854249492385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,5,4,4.257666666666667,1.0965702591869497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,5,4,5.7947500000000005,0.5417830900523446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,5,4,5.503166666666667,0.52520678467311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,5,7,7.077500000000001,0.9213601358860714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,5,7,2.8955,0.856306312016909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,5,7,5.9345,1.5026019100214134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,5,7,5.093500000000001,1.2664666070081223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,5,7,4.37,2.634679866701076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,5,7,5.1485,2.5491199461775036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,6,7,5.995,0.13859292911256313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,6,7,3.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,6,7,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,6,7,3.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,6,7,3.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,6,7,2.9795,0.26657925650732855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,6,8,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,6,8,3.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,6,8,2.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,15,9,13.175,0.37476659402886975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,15,9,9.037,NA,0.117,NA,5.5423333333333336,NA,13.518333333333333,NA,15.289416666666666,NA,1.49588727822655,NA,1.6918686142156318,NA
CraggCrk,15,9,7.227,NA,0.39333333333333337,NA,3.5803333333333334,NA,8.733,NA,9.69385,NA,1.2083852220838522,NA,1.3413380379133801,NA
WestLeech,15,9,9.544,0.6590235200658626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,15,9,8.854,NA,0.44133333333333336,NA,6.294333333333333,NA,15.352,NA,17.57476666666667,NA,1.7339055793991418,NA,1.9849521873352916,NA
Weeks,16,9,18.299999999999997,0.6222539674441611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,16,9,6.853,NA,0,NA,4.4976666666666665,NA,10.970666666666666,NA,12.416983333333334,NA,1.6008560727661851,NA,1.8119047619047621,NA
LeechHead,16,9,10.4315,1.7090770901278853,0.245,0.29227080289043966,6.941666666666667,4.688117959266811,16.930999999999997,11.434859460828056,20.13745,13.009303419818021,1.5541249067430531,NA,1.853155644229607,NA
CraggCrk,16,9,7.473,NA,0.06366666666666666,NA,4.859999999999999,NA,11.853,NA,13.322483333333333,NA,1.586109995985548,NA,1.7827490075382488,NA
WestLeech,16,9,8.315,1.5938186847944784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,16,9,7.625,NA,0.142,NA,6.091333333333333,NA,14.857,NA,17.255899999999997,NA,1.9484590163934425,NA,2.263068852459016,NA
Tunnel,17,9,4.855,NA,0.109,NA,6.219,NA,15.169,NA,19.22555,NA,3.124407826982492,NA,3.959948506694129,NA
Weeks,17,10,13.0116,3.063772233701455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,17,10,5.47275,2.681642080889991,0.297,0.36669605942796824,7.648,3.8505744160233197,18.65375,9.391204657373125,29.1339125,12.77190436487938,3.3828942233829995,NA,6.95873157319107,NA
LeechHead,17,10,9.183,1.0922403581629827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CraggCrk,17,10,5.72,1.250339753826935,0.3102,0.21486902987634116,7.8628,1.9042869269099127,19.1774,4.644772470207771,20.93369,6.913379118907772,3.3376493791423254,NA,3.795312817118512,NA
WestLeech,17,10,6.822666666666667,2.3627071478849566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,17,10,6.506666666666667,1.4778313390460585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weeks,18,10,10,NA,0.751,NA,15.2,NA,37.073,NA,9.243649999999999,NA,3.7073,NA,0.9243649999999999,NA
ChrisCrk,18,10,2.743,NA,0,NA,3.913,NA,9.543,NA,44.88125,NA,3.479037550127597,NA,16.362103536274155,NA
LeechHead,18,10,6.188,NA,0.405,NA,9.828,NA,23.972,NA,10.89285,NA,3.873949579831933,NA,1.7603183581124757,NA
CraggCrk,18,10,3.102666666666667,0.4106206684195686,0.13383333333333333,0.22277473674843234,6.007499999999999,3.3199152474121982,14.652166666666668,8.098076536025905,19.914358333333336,8.729771457071964,4.5582603477156,NA,6.2810198922424885,NA
WestLeech,18,10,4.228,NA,0.205,NA,6.535,NA,15.94,NA,18.74035,NA,3.7701040681173135,NA,4.432438505203406,NA
Tunnel,18,10,3.709166666666667,0.5184640456836584,0.06116666666666667,0.030551050172893675,5.273833333333333,0.4094857343872512,12.86375,0.9990870707801196,14.506866666666665,1.8406735863989216,3.4996707415830715,NA,3.927327934788088,NA
Weeks,19,11,9.949,0.6722727621037954,0.759,0.03509035954978711,15.367750000000001,0.9639911393092091,37.48225,2.3517749856934307,45.410137500000005,2.905413146288323,3.7687668831802643,NA,4.565340624908823,NA
ChrisCrk,19,11,5.067333333333334,2.0224434067071777,0.3233333333333333,0.2947411293547837,7.161,2.9672312009683366,17.466,7.237315040814514,20.55196666666667,8.982460262830742,3.4274643843688644,NA,3.999242024657522,NA
LeechHead,19,11,7.379333333333333,0.6845833282613106,0.5486666666666666,0.1515134757483087,11.143,0.7877391700302838,27.178,1.9215517167123033,32.528666666666666,2.2805372702136055,3.688114161068306,NA,4.415006407180287,NA
CraggCrk,19,11,4.7375,1.4322731350316298,0.288,0.2681802876176149,6.8614999999999995,2.1120913016881318,16.735,5.150637242128395,19.2823125,6.217259228332987,3.52653817404088,NA,4.051602013050376,NA
WestLeech,19,11,6.4758,2.441987858282673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunnel,19,11,6.587166666666667,1.6551904321456992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WestLeech,20,11,4.2845,0.7643824304626579,0.1745,0.11667261889578034,6.6925,1.0401540751254115,16.323999999999998,2.537099130897332,19.74445,3.188698029760738,3.8179509875559097,NA,4.615406959944201,NA
Tunnel,20,11,3.752,NA,0.106,NA,5.962,NA,14.542,NA,17.43965,NA,3.875799573560768,NA,4.6480943496801705,NA
Weeks,20,12,8.1565,0.7336713614873261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChrisCrk,20,12,3.6345,1.204940247481177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LeechHead,20,12,6.5335,0.8681438052918805,0.48675,0.11003446429793406,9.84,0.6456753570229132,24.000500000000002,1.575295422029362,28.8778,1.7608046801580983,3.700126996283091,NA,4.453995146250878,NA
CraggCrk,20,12,4.686,1.1518956115898698,0.1966,0.18780521824486135,6.854,1.5416301437115196,16.7176,3.7598864743499907,19.374299999999998,4.70144201548844,3.5807037784975497,NA,4.135825239147657,NA
WestLeech,20,12,3.079,NA,0.02,NA,4.984,NA,12.157,NA,14.06885,NA,3.9483598570964595,NA,4.569291977914907,NA
Tunnel,20,12,4.840833333333333,0.8067342602534409,0.2525,0.14295698653790936,7.3245,1.2802440001812152,17.8645,3.121902993367988,21.141575,3.844633479507507,3.6881054723556734,NA,4.360070068298268,NA
CraggCrk,21,12,3.763,NA,0.066,NA,5.517,NA,13.457,NA,15.5412,NA,3.576136061652937,NA,4.130002657454159,NA
Weeks,23,12,4.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
