site,DOC_min_min,DOC_max_max,DOC_change_mgL_min,DOC_change_mgL_max,DOC_percentDiff_min,DOC_percentDiff_max
Weeks,6.083,16.12,1.0120000000000005,6.427000000000001,9.647344953384673,53.182887829602365
ChrisCrk,2.29,9.157,1.2109999999999999,3.9240000000000004,26.12668230645758,82.02341137123746
LeechHead,5.715,10.3,0.08000000000000007,1.9779999999999998,1.1661807580174937,29.504773269689732
CraggCrk,3.004,8.219,1.1969999999999996,3.2499999999999996,28.819068255687963,67.51929437706725
WestLeech,2.507,10.95,0.133,5.7509999999999994,4.481887110362258,94.57848979193122
Tunnel,3.4,5.942,0.04700000000000015,1.9799999999999995,1.3728640280414826,42.507513954486896
