site,DOC_mean,DOC_sd,RSD,DOC_min,DOC_max
Weeks,9.97022641509434,3.625520873143129,36.36347583495499,3.782,19.07
ChrisCrk,4.82175,2.012409982128446,41.736091297318325,1.845,9.157
LeechHead,7.08302,1.7116800970665862,24.165964476545117,3.95,11.64
CraggCrk,4.744439393939394,1.475375458120489,31.096939714419204,1.788,8.219
WestLeech,5.591878787878788,2.288032903980397,40.91706903483033,1.997,10.95
Tunnel,5.0994754098360655,1.613292953419159,31.636449316088022,1.737,9.024
