group,lapse,count,mean_DOC,sd_DOC,RSD_DOC,mean_UV254,sd_UV254
AG,11,5,7.5404,0.04077131344462686,0.540704915450465,14.587133333333334,0.010925505327748984
AR,11,5,4.1712,0.126157441318378,3.024487948752829,14.5222,0.07768654967238492
BG,20,5,5.373,0.10331747190093253,1.9229010217929003,19.1392,0.07090980186123806
BR,20,5,5.4524,0.11612622442842095,2.1298185098015727,17.6238,3.0811773236865156
CG,34,5,3.3108,0.16181687180266474,4.887545964802004,13.5238,2.9887831470349266
CR,34,5,2.5604,1.1136773769813233,43.49622625298091,8.907399999999999,2.14755798524743
