site,subbasin_type,count,DOCmean,DOCsd,RSD,DOCmin,DOCmedian,DOCmax
Weeks,headwater,54,9.791314814814815,3.6293030092545218,37.066554164545714,3.782,9.175,19.07
ChrisCrk,headwater,47,4.810404255319149,2.032614023322575,42.25453653037567,1.845,4.565,9.157
LeechHead,mainstem,49,7.095469387755102,1.7271295442395265,24.341300763274294,3.95,6.858,11.64
CraggCrk,mainstem,69,4.700594202898551,1.4764186828351649,31.409192521335992,1.788,4.449,8.219
WestLeech,mainstem,65,5.61203076923077,2.2999285584640363,40.982108848617074,1.997,5.432,10.95
Tunnel,outlet,72,4.751222222222222,1.747248381790131,36.77471395924132,1.649,4.912,9.024
SUMMARY,headwater,101,7.473465346534653,3.887913958832825,52.02290742721647,1.845,6.766,19.07
SUMMARY,mainstem,183,5.665579234972678,2.0894458550832766,36.8796511076127,1.788,5.432,11.64
