year,annual precip. (mm),mean air temp. (°C),std.dev. (± °C)
2014,1260,10.587832965394286,6.74485295832428
2015,1281,11.286708506466667,6.28074031405217
2016,1526,10.588850003894738,6.23016934057362
2017,1331,10.507510011136363,7.144939375110089
2018,1636,10.573640910411111,6.6145336962643
2019,1494,10.064959372912181,6.307939099049927
