site,DOC_mean,DOC_sd,RSD
Weeks,9.998637931034482,3.5840347825804537,35.84523019336536
ChrisCrk,4.852244897959184,2.0027456729305837,41.27462061473695
LeechHead,7.077038461538462,1.6785814151000111,23.71869849545947
CraggCrk,4.6707857142857145,1.4830610128746904,31.751852977085015
WestLeech,5.5837164179104475,2.271615896668954,40.6828665113162
Tunnel,4.784826666666667,1.7272512561819087,36.0985125796666
