site,rain_season,count,DOCmean,DOCsd,SAC254mean,SAC254sd,SUVAmean,SUVAsd,E2E3mean,E2E3sd
Weeks,dry,5,10.3192,2.154591190922306,24.27925,4.8751477028906525,2.2413573556089417,0.10877496206326918,4.013937237475872,0.304079152179139
Weeks,wet,44,9.894045454545454,3.5467915534278625,31.24625,8.721585136628235,3.6476954702305338,0.7911434470034474,4.179617824323411,0.6118343302401661
ChrisCrk,dry,5,5.8868,2.374335633393055,6.8020000000000005,1.25596129628973,1.0587263320944822,0.17961954063203522,4.521570482122898,0.06051769943981755
ChrisCrk,wet,37,4.797675675675675,2.043359652550101,14.825733333333332,6.596366224540142,3.6666156742316294,1.0504259447690247,4.406782612499524,0.24697604005919538
LeechHead,dry,6,6.1033333333333335,1.108674103001719,7.536555555555555,0.4818492541279937,1.1888387851815483,0.03368556716049567,4.409011691160194,0.03950643208305654
LeechHead,wet,38,7.34071052631579,1.772251368722918,24.516897435897437,4.2995223730958925,3.9030229482463863,0.923263981793035,4.377942244377621,0.14056360061041334
CraggCrk,dry,6,4.1535,1.348651289251599,5.123,0.4084378097635481,1.194548061256836,0.08524063679863629,4.4186044860149725,0.04663692706923847
CraggCrk,wet,55,4.785163636363636,1.5536305839052575,15.03661111111111,4.535082007428594,3.5072713756163405,0.9731974429876746,4.604215415498122,0.22888147634765324
WestLeech,dry,5,4.6828,1.6515104298792667,5.216833333333334,0.025220141862320244,1.0145963778612144,0.10075312955807147,4.308769130038877,0.051294664545490386
WestLeech,wet,52,5.905692307692307,2.4021342678384947,17.071644444444445,5.38635412882018,4.07137760184984,1.663190756638323,4.255154993458683,0.31123173116404507
Tunnel,dry,12,3.9371666666666667,2.259263912039146,5.280166666666666,0.13835722685216795,0.8493636130165396,0.007015967285296927,4.1996511447508835,0.1586742405962376
Tunnel,wet,52,4.938634615384616,1.6980400354277678,17.74487037037037,4.796669380519299,3.667626881831441,0.9129051387016474,4.422300538633602,0.20233341536152635
all sites,dry,39,5.467461538461539,2.743207389421463,8.529144444444444,6.620509996559953,1.2357982819047995,0.4332572692761484,4.339485000161697,0.19286795242370328
all sites,wet,279,6.173706093189964,2.879964646752712,18.87371865443425,7.567133738225455,3.730305528196936,1.090098397703313,4.390226877723272,0.3421822437762085
