StationName,DateTime,Temp,Rh,Rn_1,Mx_Spd,Dir
,DateTime,C,%,mm,kph,Degree
FWx Chris Creek,2018-09-05 2:00,7.5,70,0,4,266
FWx Chris Creek,2018-09-05 3:00,6.8,74,0,4,181
FWx Chris Creek,2018-09-05 4:00,6.6,80,0,6,10
FWx Chris Creek,2018-09-05 5:00,6.3,77,0,4,31
FWx Chris Creek,2018-09-05 6:00,6.5,82,0,4,138
FWx Chris Creek,2018-09-05 7:00,8.9,68,0,4,7
FWx Chris Creek,2018-09-05 8:00,15.2,52,0,7,96
FWx Chris Creek,2018-09-05 9:00,20.9,32,0,13,26
FWx Chris Creek,2018-09-05 10:00,21.6,30,0,20,26
FWx Chris Creek,2018-09-05 11:00,22.1,26,0,20,18
FWx Chris Creek,2018-09-05 12:00,23.7,22,0,24,48
FWx Chris Creek,2018-09-05 13:00,24.5,23,0,18,53
FWx Chris Creek,2018-09-05 14:00,25.2,22,0,19,44
FWx Chris Creek,2018-09-05 15:00,25.2,21,0,19,75
FWx Chris Creek,2018-09-05 16:00,25.3,21,0,24,24
FWx Chris Creek,2018-09-05 17:00,24.9,23,0,21,42
FWx Chris Creek,2018-09-05 18:00,22.1,33,0,13,208
FWx Chris Creek,2018-09-05 19:00,17.3,43,0,8,36
FWx Chris Creek,2018-09-05 20:00,14.7,52,0,9,32
FWx Chris Creek,2018-09-05 21:00,12.6,59,0,9,40
FWx Chris Creek,2018-09-05 22:00,11.8,62,0,6,18
FWx Chris Creek,2018-09-05 23:00,11.3,63,0,4,247
FWx Chris Creek,2018-09-06 0:00,11.1,62,0,4,68
FWx Chris Creek,2018-09-06 1:00,10.5,65,0,2,252
FWx Chris Creek,2018-09-06 2:00,10.6,67,0,5,145
FWx Chris Creek,2018-09-06 3:00,10.7,62,0,4,55
FWx Chris Creek,2018-09-06 4:00,10.1,63,0,4,122
FWx Chris Creek,2018-09-06 5:00,9.7,64,0,4,37
FWx Chris Creek,2018-09-06 6:00,9.7,60,0,4,351
FWx Chris Creek,2018-09-06 7:00,12.3,58,0,4,239
FWx Chris Creek,2018-09-06 8:00,18.5,44,0,4,224
FWx Chris Creek,2018-09-06 9:00,23.6,26,0,10,124
FWx Chris Creek,2018-09-06 10:00,25.5,22,0,13,144
FWx Chris Creek,2018-09-06 11:00,26.2,23,0,18,209
FWx Chris Creek,2018-09-06 12:00,26.9,15,0,26,230
FWx Chris Creek,2018-09-06 13:00,26.7,21,0,23,228
FWx Chris Creek,2018-09-06 14:00,26.4,20,0,29,282
FWx Chris Creek,2018-09-06 15:00,26,18,0,22,287
FWx Chris Creek,2018-09-06 16:00,25.8,17,0,21,261
FWx Chris Creek,2018-09-06 17:00,24.3,19,0,22,261
FWx Chris Creek,2018-09-06 18:00,20.5,35,0,15,266
FWx Chris Creek,2018-09-06 19:00,16.5,52,0,16,299
FWx Chris Creek,2018-09-06 20:00,14.1,62,0,17,10
FWx Chris Creek,2018-09-06 21:00,13.1,65,0,15,36
FWx Chris Creek,2018-09-06 22:00,12.1,69,0,12,312
FWx Chris Creek,2018-09-06 23:00,11.9,71,0,14,255
FWx Chris Creek,2018-09-07 0:00,12.2,70,0,15,314
FWx Chris Creek,2018-09-07 1:00,12.7,66,0,13,264
FWx Chris Creek,2018-09-07 2:00,12.2,72,0,20,297
FWx Chris Creek,2018-09-07 3:00,11.6,77,0,16,275
FWx Chris Creek,2018-09-07 4:00,10.8,86,0,8,101
FWx Chris Creek,2018-09-07 5:00,10.4,94,0,14,93
FWx Chris Creek,2018-09-07 6:00,10.4,95,0,5,20
FWx Chris Creek,2018-09-07 7:00,11.3,92,0,7,55
FWx Chris Creek,2018-09-07 8:00,13.9,79,0,6,23
FWx Chris Creek,2018-09-07 9:00,15.9,69,0,10,289
FWx Chris Creek,2018-09-07 10:00,18.3,56,0,15,162
FWx Chris Creek,2018-09-07 11:00,18.4,56,0,16,166
FWx Chris Creek,2018-09-07 12:00,18.2,60,0,17,222
FWx Chris Creek,2018-09-07 13:00,18.3,61,0,17,235
FWx Chris Creek,2018-09-07 14:00,16.3,71,0,16,272
FWx Chris Creek,2018-09-07 15:00,12.8,92,0.76,30,311
FWx Chris Creek,2018-09-07 16:00,13,91,0.76,15,18
FWx Chris Creek,2018-09-07 17:00,12.6,90,0,11,116
FWx Chris Creek,2018-09-07 18:00,12,94,0,12,44
FWx Chris Creek,2018-09-07 19:00,11.8,95,0,7,359
FWx Chris Creek,2018-09-07 20:00,11.2,97,0,6,8
FWx Chris Creek,2018-09-07 21:00,11.3,97,0.51,6,25
FWx Chris Creek,2018-09-07 22:00,11.3,98,0.51,5,290
FWx Chris Creek,2018-09-07 23:00,11.3,98,0,6,177
FWx Chris Creek,2018-09-08 0:00,11.3,98,0.51,6,231
FWx Chris Creek,2018-09-08 1:00,11.3,97,0,10,140
FWx Chris Creek,2018-09-08 2:00,11,94,0,9,167
FWx Chris Creek,2018-09-08 3:00,10.4,97,0,7,320
FWx Chris Creek,2018-09-08 4:00,10.3,97,0,6,30
FWx Chris Creek,2018-09-08 5:00,10.2,98,0,5,22
FWx Chris Creek,2018-09-08 6:00,10.4,98,0.25,6,104
FWx Chris Creek,2018-09-08 7:00,11.1,97,0.25,5,91
FWx Chris Creek,2018-09-08 8:00,12,93,0,9,108
FWx Chris Creek,2018-09-08 9:00,12.6,92,0,11,134
FWx Chris Creek,2018-09-08 10:00,12.9,90,0,14,157
FWx Chris Creek,2018-09-08 11:00,13.3,85,0,11,199
FWx Chris Creek,2018-09-08 12:00,14.3,78,0,15,223
FWx Chris Creek,2018-09-08 13:00,13.1,91,0.25,20,240
FWx Chris Creek,2018-09-08 14:00,12.6,93,2.29,13,160
FWx Chris Creek,2018-09-08 15:00,12.7,94,1.02,17,147
FWx Chris Creek,2018-09-08 16:00,12.1,94,1.27,22,151
FWx Chris Creek,2018-09-08 17:00,12.2,92,0.25,11,234
FWx Chris Creek,2018-09-08 18:00,12.4,89,0,14,211
FWx Chris Creek,2018-09-08 19:00,11.4,93,0,16,200
FWx Chris Creek,2018-09-08 20:00,11.2,93,0,13,150
FWx Chris Creek,2018-09-08 21:00,10.7,94,0,9,107
FWx Chris Creek,2018-09-08 22:00,10.3,97,0,9,157
FWx Chris Creek,2018-09-08 23:00,10.1,97,0,4,53
FWx Chris Creek,2018-09-09 0:00,9.8,97,0,8,52
FWx Chris Creek,2018-09-09 1:00,9.6,97,0,7,56
FWx Chris Creek,2018-09-09 2:00,9.3,97,0,7,86
FWx Chris Creek,2018-09-09 3:00,9.8,98,0,7,64
FWx Chris Creek,2018-09-09 4:00,9.9,97,0,6,67
FWx Chris Creek,2018-09-09 5:00,10.4,96,0,8,67
FWx Chris Creek,2018-09-09 6:00,10.5,97,0,9,68
FWx Chris Creek,2018-09-09 7:00,10.7,98,0.51,9,80
FWx Chris Creek,2018-09-09 8:00,11.4,98,0.51,11,88
FWx Chris Creek,2018-09-09 9:00,11.8,97,0,9,110
FWx Chris Creek,2018-09-09 10:00,12.8,90,0.25,10,65
FWx Chris Creek,2018-09-09 11:00,13,92,0.51,11,169
FWx Chris Creek,2018-09-09 12:00,12.5,93,1.52,14,165
FWx Chris Creek,2018-09-09 13:00,13,90,0.25,11,165
FWx Chris Creek,2018-09-09 14:00,12.6,94,3.05,12,184
FWx Chris Creek,2018-09-09 15:00,12.3,96,5.59,17,140
FWx Chris Creek,2018-09-09 16:00,12.9,94,1.78,22,165
FWx Chris Creek,2018-09-09 17:00,12.2,94,0.51,20,230
FWx Chris Creek,2018-09-09 18:00,11.9,94,0,16,217
FWx Chris Creek,2018-09-09 19:00,11.3,97,0.25,15,233
FWx Chris Creek,2018-09-09 20:00,10.8,98,0,7,64
FWx Chris Creek,2018-09-09 21:00,9.2,98,0,6,33
FWx Chris Creek,2018-09-09 22:00,8.1,98,0,9,40
FWx Chris Creek,2018-09-09 23:00,8,98,0,7,354
FWx Chris Creek,2018-09-10 0:00,8,99,0.25,6,359
FWx Chris Creek,2018-09-10 1:00,8.5,99,0.25,6,49
FWx Chris Creek,2018-09-10 2:00,9.3,96,0,14,177
FWx Chris Creek,2018-09-10 3:00,9.4,93,0.25,16,240
FWx Chris Creek,2018-09-10 4:00,10,93,0,18,219
FWx Chris Creek,2018-09-10 5:00,10.6,93,0.51,18,219
FWx Chris Creek,2018-09-10 6:00,10.6,94,0.25,23,191
FWx Chris Creek,2018-09-10 7:00,11,94,0.51,20,174
FWx Chris Creek,2018-09-10 8:00,11.7,92,0,28,185
FWx Chris Creek,2018-09-10 9:00,12.2,89,0.25,21,193
FWx Chris Creek,2018-09-10 10:00,11.9,93,0.76,21,173
FWx Chris Creek,2018-09-10 11:00,12.1,93,0.25,20,167
FWx Chris Creek,2018-09-10 12:00,13.3,87,0.51,34,217
FWx Chris Creek,2018-09-10 13:00,12.6,90,1.52,26,213
FWx Chris Creek,2018-09-10 14:00,13.4,86,0.51,28,231
FWx Chris Creek,2018-09-10 15:00,13.6,82,0.25,29,218
FWx Chris Creek,2018-09-10 16:00,12,88,0.51,30,215
FWx Chris Creek,2018-09-10 17:00,11.9,89,0.25,32,221
FWx Chris Creek,2018-09-10 18:00,11.7,91,0.25,26,221
FWx Chris Creek,2018-09-10 19:00,11,94,0.76,24,192
