site,sample_type,number_of_samples
Weeks,Grab,24
Weeks,Rack,29
ChrisCrk,Grab,20
ChrisCrk,Rack,21
LeechHead,Grab,21
LeechHead,Rack,25
CraggCrk,Grab,29
CraggCrk,Rack,32
WestLeech,Grab,20
WestLeech,Rack,36
Tunnel,Grab,39
Tunnel,Rack,28
