trip,site,sample_type,sample,dt_sampled,fillStage_cm,analyte,result
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.814
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.234
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,7.887
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.183
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NPOC_ppm,6.842
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,Turbid.FTUeq,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.85
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.352
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,8.177
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.213
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NPOC_ppm,6.842
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,Turbid.FTUeq,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,NO3.Neq_ppm,0
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,TOCeq_ppm,3.891
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,DOCeq_ppm,3.253
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC254_Abs.m,7.934
10,Leech-head,Grab,Grab,2019-06-12T20:15:00Z,NA,SAC436_Abs.m,0.164
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NPOC_ppm,12.81
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,Turbid.FTUeq,0
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NO3.Neq_ppm,0.52
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,TOCeq_ppm,14.088
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,DOCeq_ppm,11.19
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,SAC254_Abs.m,27.292
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,SAC436_Abs.m,0.484
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NPOC_ppm,12.81
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,Turbid.FTUeq,0
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,NO3.Neq_ppm,0.604
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,TOCeq_ppm,14.65
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,DOCeq_ppm,11.546
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,SAC254_Abs.m,28.161
10,Weeks-out,Grab,Grab,2019-06-12T21:45:00Z,NA,SAC436_Abs.m,0.484
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NPOC_ppm,6.766
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,Turbid.FTUeq,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NO3.Neq_ppm,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,TOCeq_ppm,3.678
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,DOCeq_ppm,3.155
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC254_Abs.m,7.696
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC436_Abs.m,0.18
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NPOC_ppm,6.766
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,Turbid.FTUeq,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NO3.Neq_ppm,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,TOCeq_ppm,2.874
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,DOCeq_ppm,2.558
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC254_Abs.m,6.24
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC436_Abs.m,0.173
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NPOC_ppm,6.766
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,Turbid.FTUeq,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,NO3.Neq_ppm,0
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,TOCeq_ppm,2.732
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,DOCeq_ppm,2.368
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC254_Abs.m,5.775
10,Chris-crk,Grab,Grab,2019-06-12T22:00:00Z,NA,SAC436_Abs.m,0.131
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NPOC_ppm,10.26
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,Turbid.FTUeq,0
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,NO3.Neq_ppm,0.091
10,Jarvis,Grab,Grab,2019-06-12T22:20:00Z,NA,TOCeq_ppm,7.979
