trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
4,Cragg-crk,Rack,L2,NA,62,0,0.127,8.379,6.658,NaN,NaN
4,Cragg-crk,Rack,L3,NA,73,6.115,0,7.234,5,NaN,NaN
4,Cragg-crk,Rack,L4,NA,84,8.211,0.065,8.705,6.065,NaN,NaN
4,Cragg-crk,Rack,L5,NA,96,0.816,0.276,9.822,7.709,NaN,NaN
4,Cragg-crk,Rack,L6,NA,110,5.52,0.207,10.247,7.642,NaN,NaN
4,Leech-head,Grab,Grab,2018-12-07T18:30:00Z,109,0,0.339,11.32,9.147,NaN,NaN
4,Leech-head,Rack,L1,NA,122,0,0.519,12.683,10.326,NaN,NaN
4,Leech-head,Rack,L2,NA,129,0,0.504,12.41,9.938,NaN,NaN
4,Leech-head,Rack,L3,NA,133,0,0.391,11.675,9.329,NaN,NaN
4,Leech-head,Rack,L4,NA,140,0,NaN,NaN,NaN,NaN,NaN
4,Leech-head,Rack,L5,NA,150,0,0.542,12.953,10.24,NaN,NaN
4,Leech-head,Rack,L6,NA,162,0,0.537,13.349,10.567,NaN,NaN
4,Leech-head,Rack,L7,NA,171,0,0.622,12.883,10.109,NaN,NaN
4,Weeks-out,Grab,Grab,2018-12-07T20:15:00Z,50,1.94,0.601,16.413,12.67,NaN,NaN
4,Weeks-out,Rack,L1,NA,65,0,0.697,17.656,14.038,NaN,NaN
4,Weeks-out,Rack,L2,NA,72,0,0.542,16.402,13.115,NaN,NaN
4,Weeks-out,Rack,L3,NA,79,0.394,0.592,15.475,12.099,NaN,NaN
4,Weeks-out,Rack,L4,NA,86,0,0.375,10.855,8.287,NaN,NaN
4,Weeks-out,Rack,L5,NA,90,0,0.463,12.184,9.39,NaN,NaN
4,Weeks-out,Rack,L6,NA,95,0,0.734,15.811,12.485,NaN,NaN
4,Weeks-out,Rack,L7,NA,105,0,0.643,15.681,12.377,NaN,NaN
4,Chris-crk,Rack,L1,NA,20,0,0.193,7.512,6.005,NaN,NaN
4,Chris-crk,Rack,L2,NA,27,0,0.182,8.11,6.456,NaN,NaN
4,Chris-crk,Rack,L3,NA,34,0,0.25,8.744,7.059,NaN,NaN
4,Chris-crk,Rack,L4,NA,41,0,0.336,9.649,7.704,NaN,NaN
4,Chris-crk,Rack,L5,NA,48,0,0.32,9.713,7.791,NaN,NaN
4,Chris-crk,Rack,L6,NA,56,0,0.243,8.628,6.837,NaN,NaN
4,Chris-crk,Rack,L7,NA,66,0,0.166,7.944,6.17,NaN,NaN
4,5S-above,Grab,Grab,2018-12-06T16:00:00Z,NA,0,0.444,6.66,5.72,NaN,NaN
4,5S-below,Grab,Grab,2018-12-06T16:00:00Z,NA,0,0.482,6.666,5.748,NaN,NaN
4,Mystery-bottle,Grab,Grab,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN
7,Lab,QA-QC,RO,NA,NA,0,0,1.2926666666666666,1.2323333333333333,NaN,NaN
7,Lab,QA-QC,CAL-VER_A1_5.614ppm,NA,NA,0,1.128,5.41,5.25,NaN,NaN
7,Lab,QA-QC,CAL-VER_A2_5.319ppm,NA,NA,0,1.237,5.504,5.233,NaN,NaN
7,Lab,QA-QC,CAL-VER_B1_5.083ppm,NA,NA,0,1.242,4.992,4.813,NaN,NaN
7,Lab,QA-QC,CAL-VER_B2_5.346ppm,NA,NA,0,1.286,5.356,5.2,NaN,NaN
7,West-Leech,Grab,Grab,2019-04-11T17:45:00Z,30,0,0.104,5.82,4.817,NaN,NaN
7,West-Leech,Rack,L1,NA,32,0,0.14,6.206,4.644,NaN,NaN
7,Tunnel,Grab,R1,2019-04-11T19:30:00Z,23,0,0.041,5.862,4.908,NaN,NaN
7,Tunnel,Grab,R2,2019-04-11T19:30:00Z,23,0,0.054,5.851,4.887,NaN,NaN
7,Tunnel,Grab,R3,2019-04-11T19:30:00Z,23,0,0.032,5.895,4.908,NaN,NaN
7,Cragg-crk,Grab,R1,2019-04-10T22:00:00Z,41,0,0.079,5.266,4.419,NaN,NaN
7,Cragg-crk,Grab,R2,2019-04-10T22:00:00Z,NA,0,0.078,5.239,4.399,NaN,NaN
7,Cragg-crk,Grab,R3,2019-04-10T22:00:00Z,NA,0,0.073,5.218,4.419,NaN,NaN
7,Leech-head,Grab,Grab,2019-04-10T18:15:00Z,118,0,0.254,8.949,7.306,NaN,NaN
7,Weeks-out,Grab,R1,2019-04-10T19:00:00Z,61,0,0.408,12.477,9.967,NaN,NaN
