source,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip,measurement,site,sample_type,sample,dt_sampled,fillStage_cm
Trip11,0,0,4.663,3.76,9.17,0.191,11,2,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA
Trip11,0,0,4.686,3.772,9.201,0.195,11,3,Deception-res,Grab,Grab,2019-06-28T16:45:00Z,NA
Trip11,0,0,2.518,2.11,5.146,0.134,11,4,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA
Trip11,0,0,2.476,2.17,5.292,0.158,11,5,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA
Trip11,0,0,2.486,2.115,5.159,0.132,11,6,West-Leech,Grab,Grab,2019-06-28T17:30:00Z,NA
Trip11,0,0,2.568,2.076,5.063,0.13,11,7,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.497,2.124,5.18,0.146,11,8,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.507,2.127,5.188,0.149,11,9,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.552,2.123,5.178,0.158,11,10,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.482,2.161,5.27,0.173,11,11,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.494,2.138,5.215,0.156,11,12,Tunnel,Grab,Grab,2019-06-28T18:45:00Z,NA
Trip11,0,0,2.44,2.149,5.241,0.155,11,13,Cragg-crk,Grab,Grab,2019-06-28T19:30:00Z,NA
Trip11,0,0,2.441,2.09,5.098,0.133,11,14,Cragg-crk,Grab,Grab,2019-06-28T19:30:00Z,NA
Trip11,0,0,2.413,2.124,5.179,0.147,11,15,Cragg-crk,Grab,Grab,2019-06-28T19:30:00Z,NA
Trip11,0,0,3.674,3.113,7.592,0.189,11,16,Leech-head,Grab,Grab,2019-06-28T20:30:00Z,NA
Trip11,0,0,3.669,3.065,7.477,0.172,11,17,Leech-head,Grab,Grab,2019-06-28T20:30:00Z,NA
Trip11,0,0,3.659,3.136,7.649,0.195,11,18,Leech-head,Grab,Grab,2019-06-28T20:30:00Z,NA
Trip11,0.312,0.473,13.727,10.376,25.306,0.486,11,19,Weeks-out,Grab,Grab,2019-06-28T20:45:00Z,NA
Trip11,0,0.505,13.62,10.368,25.289,0.505,11,20,Weeks-out,Grab,Grab,2019-06-28T20:45:00Z,NA
Trip11,0,0.468,13.658,10.414,25.401,0.516,11,21,Weeks-out,Grab,Grab,2019-06-28T20:45:00Z,NA
Trip11,0,0.142,7.91,6.451,15.733,0.274,11,22,Weeks-Lake,Grab,Grab,2019-06-28T21:15:00Z,NA
Trip11,0,0.137,7.821,6.442,15.713,0.277,11,23,Weeks-Lake,Grab,Grab,2019-06-28T21:15:00Z,NA
Trip11,0,0.125,7.795,6.436,15.697,0.269,11,24,Weeks-Lake,Grab,Grab,2019-06-28T21:15:00Z,NA
Trip11,0,0,3.855,3.36,8.196,0.212,11,25,Chris-crk,Grab,Grab,2019-06-28T21:20:00Z,NA
Trip11,0,0,3.827,3.321,8.101,0.188,11,26,Chris-crk,Grab,Grab,2019-06-28T21:20:00Z,NA
Trip11,0,0,3.782,3.352,8.176,0.209,11,27,Chris-crk,Grab,Grab,2019-06-28T21:20:00Z,NA
Trip11,0,0,4.338,3.676,8.965,0.171,11,28,Worley-Lake,Grab,Grab,2019-06-28T21:50:00Z,NA
Trip11,0,0,4.272,3.724,9.083,0.19,11,29,Worley-Lake,Grab,Grab,2019-06-28T21:50:00Z,NA
Trip11,0,0,4.299,3.715,9.061,0.187,11,30,Worley-Lake,Grab,Grab,2019-06-28T21:50:00Z,NA
